ParentId, Reputation, Votes
10822,720,6
10905,2234,4
10919,12839,2
17984,255,4
18093,1062,1
22429,1126,1
26450,22829,1
26842,28293,1
28428,731,2
30379,1260,1
31673,818,1
32803,556,4
33233,765,1
35905,347,4
36028,1493,2
36079,4079,3
36262,11721,4
40021,284,1
40151,28687,3
40845,719,7
44989,2128,7
48905,1160,3
49164,1390,3
49908,1380,1
52702,627,2
54546,1782,2
56046,9958,3
56801,1117,1
56944,1645,2
60204,188,3
60259,3154,1
60685,132,2
61057,9887,1
66654,5294,1
67418,2711,1
69538,165,5
76412,118,1
76464,3536,1
76553,1245,2
76781,1118,3
87179,2008,2
89752,2646,1
90078,842,2
90288,1788,2
93153,96,3
97594,6112,1
101061,17903,8
103843,1103,2
104068,1409,3
106431,1250,2
106965,3746,1
108689,484,1
109044,5269,3
110426,948,3
110632,3179,3
110930,6963,1
111294,529,1
111391,1070,1
111558,2714,2
113737,882,2
113916,246,1
114725,736,1
117127,973,1
117379,326,1
120886,973,14
120900,18548,4
121063,33797,1
122178,1993,2
122205,1387,2
123918,1541,1
125849,2081,1
126759,1221,1
127886,6825,5
133390,17775,3
133986,1491,1
135591,106,1
136026,374,3
136300,90636,1
137950,592,3
138514,2703,1
139358,532,1
144516,1037,4
145350,5067,4
145728,7112,2
146097,21718,1
146367,5515,2
148262,18548,3
150539,326,1
150845,10209,1
150923,179,1
152160,9652,2
152307,179,5
153227,116,2
154754,733,1
155977,978,11
156527,688,5
156688,133,1
157480,31019,4
157599,1096,1
158382,445,5
159190,4755,2
160022,1259,2
160960,2629,5
161369,1128,3
161539,31019,3
161540,12804,1
162399,434,4
163603,403,3
163757,3012,1
165133,2722,2
166431,12199,6
166615,409,5
167485,269,1
171878,1493,1
172764,9244,2
173241,443,1
173775,7055,5
174387,3139,3
174914,2573,1
176473,1381,1
178561,4553,13
179128,13376,3
179556,3933,5
179834,2271,2
182611,278,1
182984,25072,3
183925,2722,1
185203,339,4
185241,255,1
188248,91,2
188968,7408,1
192126,868,8
193802,615,1
194579,168,3
195317,9790,2
196418,625,3
198493,201350,1
198857,99,1
201865,7408,1
203050,1281,3
203161,2460,4
203497,5104,3
203927,4417,1
207260,378,10
208653,1184,1
208978,2620,1
209216,25072,1
211270,1193,18
211567,1037,4
211625,357,1
212050,162,2
212257,99,3
212681,11846,1
213181,11955,8
213671,890,3
213691,166,1
215160,3001,1
217301,12391,2
219590,6112,2
221006,660,1
221108,358,1
221523,1303,1
222536,121,7
222667,2447,4
224295,530,5
225607,632,2
226436,100984,1
226677,158,1
226823,1278,8
234006,391,7
234888,1952,5
235369,390,3
236376,1303,6
236715,3181,4
237921,1832,1
238340,784,2
239207,140,21
239697,309,3
240874,34104,1
241396,478,2
241595,1493,1
241860,385,3
243617,1951,2
244663,3525,1
244861,3483,2
245027,323,1
246137,4750,1
246951,478,3
248838,17004,1
249557,144,1
249860,478,1
251117,121,2
251740,418,1
252050,25113,2
252559,408,1
252991,12138,1
255566,161,2
258551,209,2
259014,3270,1
259087,323,2
259314,5487,2
259650,1409,4
260180,434,3
260256,168,3
261125,556,3
262026,602,4
262378,4095,1
265855,153,1
265888,988,1
266997,12391,7
267140,14917,3
267924,10572,5
269308,119,1
269621,953,1
271380,153,20
272717,1992,7
275421,2218,1
276499,400,1
279392,329,2
280489,81,1
281890,2573,2
282575,1062,2
285276,304,2
288045,2569,1
288350,4750,4
289093,675,2
289186,19281,6
289274,219,13
