ParentId, Reputation, Votes
10822,82,1
10905,82,2
10919,82,11
17984,101,5
18093,82,2
22429,97,1
26450,77,2
26842,113,1
28428,123,4
30379,90,1
31673,91,1
32803,90,1
33233,77,1
35905,90,1
36028,91,1
36079,91,6
36262,77,1
40021,103,1
40151,97,2
40845,121,5
44989,82,1
48905,115,2
49164,79,5
49908,123,3
52702,101,4
54546,88,1
56046,79,4
56801,79,4
56944,81,3
60204,79,3
60259,101,1
60685,121,4
61057,113,2
66654,88,1
67418,75,5
69538,106,2
76412,97,6
76464,86,1
76553,96,1
76781,86,1
87179,86,3
89752,78,1
90078,95,7
90288,101,3
93153,81,2
97594,77,2
101061,116,1
103843,107,2
104068,91,5
106431,89,2
106965,81,1
108689,97,2
109044,101,2
110426,106,1
110632,118,2
110930,109,1
111294,86,1
111391,97,1
111558,107,3
113737,78,1
113916,121,2
114725,118,1
117127,116,1
117379,121,1
120886,116,3
120900,96,2
121063,86,1
122178,88,1
122205,101,8
123918,91,1
125849,101,1
126759,98,1
127886,97,1
133390,86,1
133986,113,1
135591,83,4
136026,113,3
136300,98,1
137950,83,5
138514,121,3
139358,119,3
144516,121,1
145350,77,2
145728,103,14
146097,103,1
146367,121,3
148262,118,1
150539,86,1
150845,121,3
150923,121,1
152160,113,2
152307,101,3
153227,108,1
154754,123,2
155977,109,1
156527,103,9
156688,101,1
157480,111,16
157599,100,1
158382,96,3
159190,93,3
160022,97,1
160960,108,3
161369,86,1
161539,88,3
161540,111,2
162399,86,13
163603,83,4
163757,117,2
165133,111,5
166431,116,25
166615,79,1
167485,118,5
171878,101,1
172764,101,1
173241,100,3
173775,100,2
174387,82,1
174914,103,1
176473,79,1
178561,78,8
179128,91,1
179556,114,1
179834,76,4
182611,86,1
182984,99,1
183925,123,1
185203,96,3
185241,113,2
188248,86,1
188968,108,1
192126,99,3
193802,92,9
194579,119,4
195317,99,1
196418,88,2
198493,88,1
198857,88,2
201865,99,6
203050,76,2
203161,82,3
203497,99,2
203927,121,2
207260,89,5
208653,86,2
208978,111,1
209216,88,2
211270,88,11
211567,121,12
211625,111,1
212050,100,1
212257,81,1
212681,86,1
213181,86,3
213671,100,2
213691,120,2
215160,99,2
217301,88,2
219590,99,1
221006,96,1
221108,91,2
221523,115,1
222536,81,4
222667,96,2
224295,99,4
225607,86,1
226436,79,3
226677,87,1
226823,82,2
234006,121,1
234888,86,1
235369,115,4
236376,115,4
236715,99,3
237921,115,1
238340,99,4
239207,78,1
239697,77,2
240874,81,9
241396,86,2
241595,99,1
241860,115,4
243617,86,2
244663,99,1
244861,81,2
245027,99,2
246137,116,1
246951,86,2
248838,88,5
249557,113,1
249860,81,1
251117,115,9
251740,119,1
252050,77,3
252559,111,1
252991,81,4
255566,105,1
258551,77,5
259014,86,1
259087,114,1
259314,92,4
259650,91,9
260180,85,1
260256,80,3
261125,106,2
262026,119,4
262378,96,4
265855,99,1
265888,83,2
266997,76,3
267140,82,6
267924,99,8
269308,85,1
269621,77,1
271380,88,5
272717,95,2
275421,99,3
276499,83,1
279392,118,2
280489,76,1
281890,116,1
282575,99,1
285276,123,3
288045,91,1
288350,115,2
289093,99,2
289186,115,4
289274,115,9
289496,86,1
290330,91,3
290523,78,1
291455,118,4
292403,99,1
293098,116,1
293187,89,2
293625,88,4
293774,107,4
294285,78,4
294931,101,1
294939,88,10
296268,91,6
297555,99,2
297645,99,1
298644,80,3
298786,91,3
300217,92,2
301826,96,1
301934,81,1
302279,76,2
302504,89,1
302572,81,5
303174,121,1
303829,85,11
304044,88,1
304213,91,2
307273,120,1
307365,99,1
307391,86,1
308353,115,2
309191,94,1
311243,94,2
313137,96,6
313253,103,1
313451,115,3
313992,116,1
314357,91,2
315708,99,5
316139,99,2
316165,102,1
318160,85,2
318341,115,9
319463,115,7
319950,105,1
321137,120,2
321468,115,2
321543,95,1
322772,99,7
322837,99,4
323163,81,1
323179,117,7
323397,121,9
324085,81,4
325733,115,1
325818,122,2
326060,80,9
326282,113,1
326754,81,3
328824,78,1
329125,99,3
329210,115,4
329921,88,9
331432,115,4
332800,76,1
333033,99,4
333841,87,1
334119,91,3
334277,116,1
335073,99,2
336240,116,1
336731,106,1
337058,80,1
337576,115,6
339004,120,8
339116,119,1
340550,101,1
341728,83,1
342330,86,2
342789,99,2
343220,84,2
343571,124,1
344684,105,1
346127,121,3
346313,100,2
346542,99,6
346793,115,2
346855,81,3
347226,89,6
351402,99,1
352335,124,8
352623,99,2
352954,118,1
354888,102,2
356010,121,2
356382,99,1
356883,121,1
359126,105,1
360649,110,1
361330,96,2
362227,78,1
362941,101,2
363156,81,4
363889,81,1
364951,88,1
365029,121,2
365262,113,2
365699,91,1
366728,87,1
370946,95,2
371861,87,1
371878,88,11
374606,113,3
374744,121,3
376812,105,8
376903,116,1
378299,93,4
378622,121,2
379133,81,6
379338,107,4
379975,99,1
380050,98,2
380588,123,2
380798,110,2
380962,99,1
381496,78,1
381980,118,6
383129,83,1
383480,76,3
383938,96,2
389503,95,1
392235,88,5
392775,111,5
393381,105,2
393786,99,1
393873,81,3
394942,99,1
394959,99,3
395030,76,2
395436,99,2
395525,110,5
397926,110,4
398664,93,1
401231,87,1
402630,83,1
404169,116,2
404617,110,1
405808,109,1
408735,88,13
409049,99,1
410150,77,4
410540,88,15
411195,82,1
412634,119,3
413924,96,1
414905,81,7
415974,123,3
417370,83,1
418186,76,1
418741,118,3
418910,106,2
418984,88,3
421339,96,2
422555,121,1
423469,82,4
424066,92,1
425112,86,1
425388,87,1
427009,98,4
429841,81,1
430047,92,3
430898,99,1
430942,124,1
431010,99,3
431752,76,4
432038,88,5
432825,101,3
433087,78,1
433331,85,1
433539,81,15
433795,111,4
434312,99,3
435067,88,2
437122,81,2
437827,98,6
437928,77,3
438530,117,2
439086,81,2
439213,81,2
439727,103,1
440320,79,4
440797,76,7
441609,81,5
441739,92,3
442187,110,1
442384,92,2
443305,81,3
443642,101,1
446380,103,5
447391,121,2
447546,77,7
447840,80,1
448009,85,1
448514,101,1
448842,113,2
449241,92,4
450107,121,6
453808,79,1
454989,93,2
455132,80,3
455184,117,4
459126,123,1
459233,121,12
460815,90,1
461068,93,3
464736,121,8
465040,78,1
467094,76,11
467329,121,3
467854,75,2
467934,116,3
467986,88,5
469072,85,1
470696,76,1
472137,88,1
472977,79,5
474107,97,4
475367,107,2
476474,96,2
476591,88,5
479353,76,3
479926,85,1
479929,96,1
481122,99,3
482314,96,3
482647,93,3
483400,113,1
484130,77,2
484220,79,8
484241,121,5
484926,81,1
486380,100,3
487649,81,2
487671,76,1
487737,118,1
487849,76,1
488154,75,1
490053,86,1
490682,96,2
492507,118,1
492977,96,1
493613,77,1
494109,86,3
494397,99,3
495744,121,1
495868,88,2
495963,99,3
497133,88,4
498363,88,4
499200,99,2
499328,81,1
499578,99,5
500995,96,3
501085,92,5
501363,88,5
501511,92,1
503310,121,8
503894,99,1
504122,81,1
504887,97,1
505314,92,1
505397,86,14
506284,101,1
506702,89,1
507376,76,3
507526,92,2
508441,116,1
509317,96,2
509391,121,1
510097,79,1
512157,121,1
513944,99,3
514155,77,1
515317,88,1
515531,94,2
515844,82,39
516501,76,1
516521,92,3
516798,113,4
516951,88,3
517434,101,1
520013,99,1
520811,99,1
521723,119,3
521921,88,2
523001,99,1
525336,88,10
525362,107,1
527851,76,3
528767,95,1
529836,88,7
530760,99,1
530808,96,1
531171,86,5
532566,95,2
532670,110,7
532773,99,3
533305,95,7
533817,110,7
534963,76,8
535053,88,5
535353,93,1
537848,88,4
539339,86,1
539774,91,1
540889,86,2
542439,92,2
542580,113,3
544476,86,4
545957,82,7
547195,121,2
548657,106,4
550826,93,2
552280,99,1
553246,76,3
554145,97,12
555344,76,6
555391,124,1
556592,81,5
556787,78,1
557344,106,3
557675,76,2
559853,83,2
560663,81,2
561457,76,5
563308,81,4
564358,119,4
