"id_q","reputation_a","votecount"
39,2131,2
39,17338,4
72,399075,1
109,10470,2
109,4750,2
134,2131,2
1024,381,7
1037,73,10
1042,13418,5
1314,10470,4
2405,16859,1
2405,731,4
2709,193,1
2709,51081,1
2804,610,1
2804,3100,1
2874,109358,3
3045,915,3
3625,14772,1
3790,2131,1
3802,21439,2
3809,10470,5
3809,6035,2
3976,2144,3
3978,895,3
3996,19120,3
4072,113,2
4138,7092,4
4138,1877,16
4170,1877,3
4416,484,1
4416,177138,1
4442,9465,2
4442,9465,2
4511,51081,7
4511,1737,3
4565,149,1
4612,956,8
4782,7521,2
4816,14861,6
4849,24991,1
4850,18313,6
4884,1357,2
4986,1136,1
4986,1984,1
5025,720,2
5027,11,2
5084,32334,2
5188,3780,3
5307,5276,2
5374,1126,1
5415,12132,12
5415,947,9
5459,1363,4
5459,537,3
5544,307,1
5544,12027,3
5605,469,2
5618,15326,2
5741,413,2
5787,2234,16
5857,1307,2
5908,18866,3
5908,2386,4
5982,8133,2
6222,2982,1
6222,7396,4
6326,4182,4
6378,1136,1
6732,720,5
6732,9567,7
6957,6762,2
6957,2691,1
7224,4333,1
7224,33439,1
7260,3342,1
7260,514,7
7470,1511,1
7558,260,1
7873,5661,1
7933,12839,1
8107,13862,2
8107,251,1
8128,17039,6
8142,12132,3
8145,12839,2
8147,7784,3
8154,1278,3
8228,27327,2
8669,6762,1
8669,21517,1
8830,13862,1
8849,2407,1
8876,5270,6
8876,431,9
8880,7581,3
8880,1739,1
8919,348,2
8919,351,2
9024,3001,2
9024,10470,3
9072,31771,1
9256,8133,3
9338,3139,2
9338,1612,2
9341,6035,1
9383,757,4
9383,33797,1
9473,3780,1
9473,348,2
9667,23122,8
9667,3113,1
9751,51081,1
9751,13912,2
9831,4079,3
9932,9598,1
9932,12839,1
10506,6178,1
10506,38,1
10524,2170,2
10524,21,4
10595,1674,2
10595,2078,4
10661,594,1
10661,4580,1
10670,5276,2
10782,3001,3
10782,303,2
10798,39172,23
10822,82,1
10822,720,6
10905,82,2
10905,2234,4
10919,82,11
10919,12839,2
11275,3139,2
11430,62,8
11430,3061,1
11439,46,6
11439,855,1
11460,1260,3
11460,1346,1
11612,5486,3
11665,833,1
11665,15326,1
11720,3139,4
11720,6000,4
11734,24910,1
11764,14861,1
11782,1281,1
11903,13418,11
11986,2193,2
11986,30,2
12225,2759,1
12271,538,4
12330,1981,3
12592,8720,13
12603,11960,3
12603,39172,3
13160,1003,1
13217,682,1
13545,3001,1
13561,2040,2
13561,303,1
13655,14861,4
13655,1737,2
13848,3001,5
13848,1737,1
13981,381,1
14264,557,7
14264,5969,5
14378,557,12
14395,4895,2
14395,18301,2
14402,557,6
14497,1510,1
14756,5270,2
14756,1734,1
14791,61,1
14791,15533,1
14801,842,1
14801,29,1
14923,572,2
14923,1550,7
